23:06:31.669 |V| JetEnvironment                | :1                 | JetEnvironment is initiating startup.
23:06:31.688 |V| JetEnvironment                | :1                 | Commencing InitHost phase.
23:06:31.699 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_TEMP_DIR (no PID suffix).
23:06:31.700 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_TEMP_DIR (no PID suffix) has no value.
23:06:31.701 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_TEMP_DIR_PID_00001F98 (PID-specific).
23:06:31.701 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_TEMP_DIR_PID_00001F98 (PID-specific) has no value.
23:06:31.701 |V| EnvironmentVariablesUtil      | :1                 | No environment variables for additional packages are set.
23:06:31.725 |V| JetHostParametersCaller       | :1                 | <Measured> "Host initialization"  time=27ms
23:06:31.725 |V| JetEnvironment                | :1                 | HostInit phase completed.
23:06:31.726 |V| JetEnvironment                | :1                 | Requesting FullPartCatalogSet.
23:06:31.733 |V| DeployedPackages              | :1                 | Initiating Deployed Package discovery for bindir /Users/home/Documents/Unity/Coding/Library/RiderFlow/2022.1.2.205/Backend~/bin.
23:06:31.739 |V| DeployedPackages              | :1                 | Scanning folder /Users/home/Documents/Unity/Coding/Library/RiderFlow/2022.1.2.205/Backend~/bin for Deployed Packages. Picking nugets? True!
