09:35:09.303 |I| Launcher                      | :1                 | Checking if build hasn't expired.
09:35:09.322 |I| Launcher                      | :1                 | Starting RiderFlow frontend
09:35:09.349 |V| ServerSocket-UnityServer-Sender| :1                 | PAUSE ('Disconnected') :: state=Initialized
09:35:09.394 |V| Server                        | :1                 | ServerSocket-UnityServer : started, port: 49543
09:35:09.395 |V| Server                        | ServerSocket-UnityServer-Receiver:18 | ServerSocket-UnityServer : accepting, port: 49543
09:35:12.175 |V| RiderFlowAnalytics            | :1                 | Found 'analytics' in /Users/home/.config/RiderFlow. Trying to extract use guid...
09:35:12.177 |V| RiderFlowAnalytics            | :1                 | Found uuid in 'analytics'.
09:35:12.181 |I| Launcher                      | :1                 | Creating Root ScriptableObject
09:35:12.181 |I| Launcher                      | :1                 | Subscribing for events
09:35:12.204 |I| Launcher                      | :1                 | Start running backend
09:35:12.303 |V| Launcher                      | :1                 | Waiting connection...
09:35:34.027 |V| Server                        | ServerSocket-UnityServer-Receiver:18 | ServerSocket-UnityServer : accepted
09:35:34.028 |V| Server                        | ServerSocket-UnityServer-Receiver:18 | ServerSocket-UnityServer : connected
09:35:34.045 |V| ServerSocket-UnityServer-Sender| ServerSocket-UnityServer-Receiver:18 | RESUME :: state=AsyncProcessing
09:35:36.035 |V| Launcher                      | :1                 | Ready!
09:39:36.662 |V| Base                          | :1                 | closing server socket
09:39:36.682 |V| Server                        | :1                 | ServerSocket-UnityServer: start termination of lifetime
09:39:36.686 |V| Server                        | :1                 | ServerSocket-UnityServer: send buffer stopped, success: True
09:39:36.686 |V| Server                        | :1                 | ServerSocket-UnityServer: closing socket because of lifetime
09:39:36.688 |V| Server                        | :1                 | ServerSocket-UnityServer: waiting for receiver thread
09:39:36.690 |V| Server                        | ServerSocket-UnityServer-Receiver:18 | Exception in SocketWire.Receive: SocketException ServerSocket-UnityServer interrupted
09:39:36.692 |V| Server                        | ServerSocket-UnityServer-Receiver:18 | ServerSocket-UnityServer: Total traffic: sent 1253, received 13855
09:39:36.695 |V| Server                        | ServerSocket-UnityServer-Receiver:18 | ServerSocket-UnityServer: terminated.
09:39:36.696 |V| Server                        | :1                 | ServerSocket-UnityServer: termination finished
09:39:43.509 |I| Launcher                      | :1                 | Checking if build hasn't expired.
09:39:43.526 |I| Launcher                      | :1                 | Starting RiderFlow frontend
09:39:43.547 |V| ServerSocket-UnityServer-Sender| :1                 | PAUSE ('Disconnected') :: state=Initialized
09:39:43.582 |V| Server                        | :1                 | ServerSocket-UnityServer : started, port: 49609
09:39:43.584 |V| Server                        | ServerSocket-UnityServer-Receiver:25 | ServerSocket-UnityServer : accepting, port: 49609
09:39:45.551 |V| Server                        | ServerSocket-UnityServer-Receiver:25 | ServerSocket-UnityServer : accepted
09:39:45.552 |V| Server                        | ServerSocket-UnityServer-Receiver:25 | ServerSocket-UnityServer : connected
09:39:45.585 |V| ServerSocket-UnityServer-Sender| ServerSocket-UnityServer-Receiver:25 | RESUME :: state=AsyncProcessing
09:39:52.691 |I| Launcher                      | :1                 | Checking if build hasn't expired.
09:39:52.710 |I| Launcher                      | :1                 | Starting RiderFlow frontend
09:39:52.736 |V| ServerSocket-UnityServer-Sender| :1                 | PAUSE ('Disconnected') :: state=Initialized
09:39:52.776 |V| Server                        | :1                 | ServerSocket-UnityServer : started, port: 49615
09:39:52.778 |V| Server                        | ServerSocket-UnityServer-Receiver:33 | ServerSocket-UnityServer : accepting, port: 49615
09:39:53.393 |V| RiderFlowAnalytics            | :1                 | Found 'analytics' in /Users/home/.config/RiderFlow. Trying to extract use guid...
09:39:53.395 |V| RiderFlowAnalytics            | :1                 | Found uuid in 'analytics'.
09:39:53.400 |I| Launcher                      | :1                 | Creating Root ScriptableObject
09:39:53.400 |I| Launcher                      | :1                 | Subscribing for events
09:39:53.430 |I| Launcher                      | :1                 | Start running backend
09:39:53.434 |V| Launcher                      | :1                 | Waiting connection...
09:39:54.332 |V| Server                        | ServerSocket-UnityServer-Receiver:33 | ServerSocket-UnityServer : accepted
09:39:54.332 |V| Server                        | ServerSocket-UnityServer-Receiver:33 | ServerSocket-UnityServer : connected
09:39:54.354 |V| ServerSocket-UnityServer-Sender| ServerSocket-UnityServer-Receiver:33 | RESUME :: state=AsyncProcessing
09:39:55.448 |V| Launcher                      | :1                 | Ready!
09:42:43.097 |V| Base                          | :1                 | closing server socket
09:42:43.120 |V| Server                        | :1                 | ServerSocket-UnityServer: start termination of lifetime
09:42:43.124 |V| Server                        | :1                 | ServerSocket-UnityServer: send buffer stopped, success: True
09:42:43.124 |V| Server                        | :1                 | ServerSocket-UnityServer: closing socket because of lifetime
09:42:43.126 |V| Server                        | :1                 | ServerSocket-UnityServer: waiting for receiver thread
09:42:43.127 |V| Server                        | ServerSocket-UnityServer-Receiver:33 | Exception in SocketWire.Receive: SocketException ServerSocket-UnityServer interrupted
09:42:43.131 |V| Server                        | ServerSocket-UnityServer-Receiver:33 | ServerSocket-UnityServer: Total traffic: sent 1253, received 1283
09:42:43.135 |V| Server                        | ServerSocket-UnityServer-Receiver:33 | ServerSocket-UnityServer: terminated.
09:42:43.135 |V| Server                        | :1                 | ServerSocket-UnityServer: termination finished
09:42:48.878 |I| Launcher                      | :1                 | Checking if build hasn't expired.
09:42:48.897 |I| Launcher                      | :1                 | Starting RiderFlow frontend
09:42:48.920 |V| ServerSocket-UnityServer-Sender| :1                 | PAUSE ('Disconnected') :: state=Initialized
09:42:48.958 |V| Server                        | :1                 | ServerSocket-UnityServer : started, port: 49629
09:42:48.960 |V| Server                        | ServerSocket-UnityServer-Receiver:42 | ServerSocket-UnityServer : accepting, port: 49629
09:42:50.881 |V| Server                        | ServerSocket-UnityServer-Receiver:42 | ServerSocket-UnityServer : accepted
09:42:50.886 |V| Server                        | ServerSocket-UnityServer-Receiver:42 | ServerSocket-UnityServer : connected
